Year,Round,Race,Driver,Team,LapNumber,V_Max,V_Max_Scaled,Apex_Speed,Apex_Speed_Scaled,Max_Corner_G,Speed_at_Max_G,Speed_at_Max_G_Scaled,Apex_G,Benchmark_G,Benchmark_Apex_Speed,Car_Score_Original,Car_Score_Scaled,Car_Score_Mixed,Is_Imputed,Imputation_Reason
2018,1,Australian_Grand_Prix,HAM,Mercedes,19,320.0,8.071428571428571,261.0,10.0,6.808499852120718,261.5750000024293,9.334443702119346,5.45660987970522,6.049706376200346,252.0374999997215,290.5,10.0,9.035714285714285,False,
2018,1,Australian_Grand_Prix,RAI,Ferrari,16,322.0,9.357142857142858,250.3416666618632,5.89186295312063,6.781976906999531,257.72500000724244,7.487674884251693,2.30961126229283,6.049706376200346,252.0374999997215,286.1708333309316,7.608745683364735,7.624502905131743,False,
2018,1,Australian_Grand_Prix,VET,Ferrari,19,323.0,10.0,253.0,6.916488222653003,6.750150942119812,258.4000000081861,7.811459028501517,2.399267799809248,6.049706376200346,252.0374999997215,288.0,8.619102416568635,8.4582441113265,False,
2018,1,Australian_Grand_Prix,VER,Red Bull Racing,14,312.0,2.9285714285714284,256.0,8.072805139158127,6.792133910508841,258.32916666606894,7.777481675864926,3.775572604489393,6.049706376200346,252.0374999997215,284.0,6.409666283078454,5.500688283864778,False,
2018,1,Australian_Grand_Prix,RIC,Red Bull Racing,16,310.0,1.6428571428571428,261.0,10.0,6.866992461740471,262.96250000721915,10.0,3.105820454890249,6.049706376200346,252.0374999997215,285.5,7.238204833137272,5.821428571428571,False,
2018,1,Australian_Grand_Prix,MAG,Haas F1 Team,16,316.83749999859936,6.038392856242442,253.0,6.916488222653003,6.699999558097802,257.47500000655464,7.367754830663557,1.7397969062717626,6.049706376200346,252.0374999997215,284.9187499992997,6.9171461446026505,6.477440539447723,False,
2018,1,Australian_Grand_Prix,GRO,Haas F1 Team,7,314.0,4.214285714285714,256.0,8.072805139158127,6.83439095197561,259.8357142860746,8.500142759173361,2.092390939624098,6.049706376200346,252.0374999997215,285.0,6.962025316450999,6.143545426721921,False,
2018,1,Australian_Grand_Prix,HUL,Renault,15,311.0,2.2857142857142856,253.2089552209729,6.997027708254028,6.762117477007157,254.9083333357778,6.136575615241042,4.0988367875423375,6.049706376200346,252.0374999997215,282.10447761048647,5.3626573682707415,4.641370996984157,False,
2018,1,Australian_Grand_Prix,SAI,Renault,16,309.0,1.0,253.17499999764016,6.983940041872892,6.749231627070029,255.6857142938289,6.509469878806684,5.0654712718825285,6.049706376200346,252.0374999997215,281.0874999988201,4.800920597729174,3.991970020936446,False,
2018,1,Australian_Grand_Prix,BOT,Mercedes,13,318.0,6.785714285714287,253.17083333389124,6.982334047280139,6.703512204758978,258.58333333052985,7.899400395619381,4.422987438832993,6.049706376200346,252.0374999997215,285.5854166669456,7.285385500725251,6.884024166497213,False,
2018,1,Australian_Grand_Prix,ALO,McLaren,13,311.8326359828604,2.82098027469596,252.0,6.531049250484628,6.768598910388541,255.98333333093305,6.652231841927411,2.096282917280622,6.049706376200346,252.0374999997215,281.9163179914302,5.258725702969085,4.6760147625902935,False,
2018,1,Australian_Grand_Prix,SAR,McLaren,13,309.0,1.0,252.07499999944292,6.55995717318256,6.718264696427692,257.8749999972007,7.559626911389788,2.9049793898435263,6.049706376200346,252.0374999997215,280.5374999997215,4.497123129872177,3.77997858659128,False,
2018,1,Australian_Grand_Prix,PER,Force India,7,318.0,6.785714285714287,244.43333333221747,3.614561027313831,6.616953413431158,250.5333333310896,4.037974680973551,1.7591529120981813,6.049706376200346,252.0374999997215,281.2166666661087,4.872266973216682,5.200137656514059,False,
2018,1,Australian_Grand_Prix,STR,Williams,10,314.0,4.214285714285714,242.3980099495312,2.8300680746609634,6.600954542626303,246.4916666654589,2.099267153796123,2.21339084967198,6.049706376200346,252.0374999997215,278.1990049747656,3.2054342783410106,3.522176894473339,False,
2018,1,Australian_Grand_Prix,OCO,Force India,15,321.9916666659544,9.351785713827846,248.5250000018203,5.191648822901142,6.627171327840746,248.77405857283523,3.1940853901507986,6.516531119103261,6.049706376200346,252.0374999997215,285.2583333338874,7.104718067044939,7.271717268364494,False,
2018,1,Australian_Grand_Prix,HAR,Toro Rosso,7,312.69874477150654,3.3777644959684903,240.49166666606385,2.095289078881234,6.586649306992625,248.6333333309101,3.126582276125037,1.7689097468545496,6.049706376200346,252.0374999997215,276.5952057187852,2.3195612715841056,2.736526787424862,False,
2018,1,Australian_Grand_Prix,ERI,Sauber,8,318.0,6.785714285714287,241.16666666548133,2.355460384870361,6.559236882264258,248.2374999982124,2.936708858771097,1.9498789941426464,6.049706376200346,252.0374999997215,279.58333333274066,3.970080552022345,4.570587335292323,False,
2018,1,Australian_Grand_Prix,LEC,Sauber,8,318.0,6.785714285714287,247.0,4.603854389642756,6.6165660297629,248.9749999981939,3.2904730158739715,5.189003764699515,6.049706376200346,252.0374999997215,282.5,5.581127733019635,5.694784337678521,False,
2018,1,Australian_Grand_Prix,SIR,Williams,2,312.9968750000825,3.569419642910195,246.17154811699424,4.284536747366062,6.671088799242698,253.1062500007208,5.272151897177973,3.82638570946334,6.049706376200346,252.0374999997215,279.5842115585384,3.970565647975072,3.926978195138128,False,
2018,1,Australian_Grand_Prix,GAS,Toro Rosso,4,310.76249999970906,2.133035714098684,237.6500000003413,1.0,6.546831629645716,244.2000000010246,1.0,2.1434955764387555,6.049706376200346,252.0374999997215,274.2062500000252,1.0,1.566517857049342,False,
